Ti mɛ̀ ɓɔ̀t yɛ̂m.	Ti me bot yem.
Lı̀ɓam li ye ɓèŋel têblè.	Libam li yé béñél téblé.
Kwɛ̀m màlep à mɓēbel jogà li ɓôt.	Kwem malép a mbébél jôga li bôt.
Mɛ̀ gwèe ɓōdôl nı̀ Ŋwɛ̀t wɛ̂m.	Me gwéé bôdôl ni Ñwet wem.
Ɓa nsɛ̂glɛnɛ ɓɔ màtam.	Ba nseglene bo matam.
À nhı̄mbha mɛ lı̀kòga; dı̀ ǹhimbha biwindà .	A nhimbha me likôga; di nhimbha biwinda .
ɓòdàà ɓa ŋkahal nɔ̀bɔl litɛbɛ̂l	bôdaa ba ñkahal nobol litebel
Mı̀m u nlɛ̄ŋlɛnɛ paŋ lɔ̀m.	Mim u nleñlene pañ lom.
Pên ı̀ ŋ̀obos mɛ mbɔt.	Pén i ñôbôs me mbot.
Bı̀nɛ̀t bi ŋkaa.	Binet bi ñkaa.
Lı̀lambâk jɔŋ li ntı̄ mɛ ŋgǒŋ jɛ.	Lilambak joñ li nti me ñgôñ je.
Ini sāŋgo i bijēl yàŋan ŋgɔ̂nd.	Ini sañgô i bijél yañan ñgond.
Waa u ńyembɓaha nyɛ i nàŋ.	Waa u nyémbbaha nye i nañ.
Kiŋɛ à m̂ɓibis mût wı̌p ɓàŋga ndòm.	Kiñe a mbibis mut wip bañga ndôm.
Mɛ̀ nhègda lɛ ɓòt ɓɔŋ ɓa galɔ̀ɔ.	Me nhégda le bôt boñ ba galoo.
Kii u mɓɔ̄k mɛ sɔ̀ɔ ? (= ɓɔk mı̌s = ɓɔk sɔ̀ɔ).	Kii u mbok me soo ? (= bok mis = bok soo).
Hı̀tèègèteege hi mût.	Hitéégétéégé hi mut.
Mbɔt i nnyòha ŋkūu.	Mbot i nnyôha ñkuu.
Mǎn à ŋ̀unɓɛnɛ (ǹsaŋ) isāŋ.	Man a ñunbene (nsañ) isañ.
Lı̀yùt li nsòn.	Liyut li nsôn.
Ŋgànd ı̀ m̂ɓɛl!	Ñgand i mbel!
M̀pı̀t à ŋ̀kahal nɔgɔ̂p.	Mpit a ñkahal nogop.
Nunu mùt à yè hı̀làŋlaŋ.	Nunu mut a yé hilañlañ.
Yı̀gı̂l ini i nlèdel nyɛ lɛ!	Yigil ini i nlédél nye le!
Hiŋgedà ta à ǹnɔl so màlêt à ŋkòs ɓêl ye i mbūs ǹsɔn.	Hiñgéda ta a nnol sô malét a ñkôs bél yé i mbus nson.
Hyas mùt.	Hyas mut.
Ǹtɛl ù kɛ̀ɛ lɛ̀n, ù gwɛ̀lɛk kii ?	Ntel u kee len, u gwelek kii ?
Hyòbi hi ŋkɛ̀ lɛŋgɛlɛ̀ŋgɛ̀.	Hyôbi hi ñke leñgeleñge.
Yɔ̌m pɛ̄ ı̂.	Yom pe i.
Ɓɔ̀ŋgɛ ɓa mɓōblana miŋɔ.	Boñge ba mbôblana miño.
Kinjɛ̄ ndòŋ ɓeba jâm!	Kinje ndôñ béba jam!
Mùt nunu à m̂ɓalap mɛ lɛ̀n i mbūs ni ŋgàndàk yèe hɔ̄p.	Mut nunu a mbalap me len i mbus ni ñgandak yéé hop.
Ɓɔ̀ma i nyubdà.	Boma i nyubda.
Ŋgwɛ̀ɛ̀gɛ̀ yèe ı̀ nlēmel hi mùt.	Ñgweege yéé i nlémél hi mut.
Kòt hı̀kuu.	Kôt hikuu.
Màlep ma ntōyoy i tùn yɛ̂m.	Malép ma ntôyôy i tun yem.
Ù hoya ɓâŋ lɛ̀gɛl mɛ ŋwı̀n.	U hôya bañ legel me ñwin.
Ù hoya ɓâŋ lɛ̀gɛl mɛ ŋwı̀n.	U hôya bañ legel me ñwin.
Lı̀làgàl lini mɛ̀ ǹyiglɛ ɓɔn ɓɛ̂m.	Lilagal lini me nyigle bon bem.
Lòòs ɓɔ̀ma bilǒbı̀lòo.	Lôôs boma bilôbilôô.
Lı̀ɓoŋgɛ̀ jɔŋ li hɔp li ŋeba lɛ ù yè mùt bı̀tɛmbɛɛ.	Libôñge joñ li hop li ñéba le u yé mut bitembee.
Nı̀ sɔ̀lna ɓâŋ.	Ni solna bañ.
M̀podôl Yèsayà à biāŋâl nı̀ lɛ̀gɛ̀l ŋgàndàk màm.	Mpôdôl Yésaya a biañal ni legel ñgandak mam.
À gwèe gwàà gwaŋɛn?	A gwéé gwaa gwañen?
Tòlɛ̀ à nlùŋ ikède lı̀ŋgùndà.	Tôle a nluñ ikédé liñgunda.
Ù mɓāŋ ɓe mût nı̀ lı̀sɔ̀lɔ̀k jɔŋ.	U mbañ bé mut ni lisolok joñ.
Mbɔt i mɓâmblà.	Mbot i mbambla.
Hı̀njɛdjɛt hi maŋgɛ.	Hinjedjet hi mañge.
Màŋgɛ à ǹlɛp binan i lı̀kùnd.	Mañge a nlep binan i likund.
Ɓòt ɓa ması̀ŋ ɓa ńyàtnà.	Bôt ba masiñ ba nyatna.
Dı̀ ŋkɛ̀ minhyōmok ɛ? ɓààloŋɛ!	Di ñke minhyômôk e? baalôñe!
À ŋ̀gɔŋ mangɛ.	A ñgoñ mange.
Lɛtɛ̀ɛ̀ nı̀ ŋgèdà mbɛɛ?	Letee ni ñgéda mbee?
Ù m̂melēs ɓolō yɔŋ ɛ?	U mmélés bôlô yoñ e?
Màpùna ma ta ɓe jâm li mût bı̀nàm.	Mapuna ma ta bé jam li mut binam.
À ǹhêyha mɛ bààm; dı̀ ǹheyha hikɔ̀k.	A nhéyha me baam; di nhéyha hikok.
Lı̀lɛŋɛ̂k jee hana li yê wɛ̀ɛ ŋgɔ̀ŋ lɛ̄ mùt lı̀hɔŋ.	Lileñek jéé hana li yé wee ñgoñ le mut lihoñ.
Ɓěsnà wɛ̂ di m̂mâlɓà.	Bésna we di mmalba.
Màŋgɛ à ǹhôŋ mɛ kwādɛ i ŋgɔ̀k.	Mañge a nhôñ me kwade i ñgok.
Màjɛ ma ye nyɔ̀nɔ, lɔ̀ga òò!	Maje ma yé nyono, loga ôô!
Mùt à ŋkɔ̀n à nlàglɛ̀.	Mut a ñkon a nlagle.
Mɛ̀ ntı̀mhɛnɛ wɛ gwɔ̀m gwɔŋ bisū bi mboŋ ɓôt.	Me ntimhene we gwom gwoñ bisu bi mbôñ bôt.
À ŋ̀kobdɛ (ŋ̀koblɛ) mɛ gwàlâk.	A ñkôbde (ñkôble) me gwalak.
Lèmp màoo.	Lémp maôô.
À m̂ɓɛ̂lɓa i hyàŋgaa.	A mbelba i hyañgaa.
Hini hı̀ŋgɔ̀ndà hi nsiı̂p ŋgandàk.	Hini hiñgonda hi nsiip ñgandak.
Lı̀as/jǎs (li hiòndɛ̀).	Lias/jas (li hiônde).
Mɛ̀ m̂pɔm mbondō.	Me mpom mbôndô.
Lı̀kay li ntòl bilɔ̀ŋ bi nlēk; lı̀kay li ŋkana.	Likay li ntôl biloñ bi nlék; likay li ñkana.
I ŋwɛ̌t à ǹnip mɛ̂ mbɔt a tı̄mbis.	I ñwet a nnip me mbot a timbis.
Ŋkuu (u) bikɛ̀y.	Ñkuu (u) bikey.
Kop ı̀ m̂ɓodɓɛ macɛ̀ɛ .	Kôp i mbôdbe matjee .
Lı̀tut li mpam nyɛ (i) ŋɔ̄; lı̀tut li ɛ.	Litut li mpam nye (i) ño; litut li e.
"Nɔ̌p màkos nı̀ nɔ̌p bı̀ɓàɓayà" Yàk 5:7.	"Nop makôs ni nop bibabaya" Yak 5:7.
"Ŋgwàŋ mût u nnɔ̄k njı̄ihà i Hādè" Lukàs 16:23 .	"Ñgwañ mut u nnok njiiha i Hadé" Lukas 16:23 .
Dı̀ɓàŋa di nnay mu njɛ̀l yɔ̂ŋ!	Dibaña di nnay mu njel yoñ!
Njòmbi yɔ̂ŋ i ɓoŋā.	Njômbi yoñ i bôña.
Ɛ i nnyɛ̀ŋg (i) mbɛ̀bi.	E i nnyeñg (i) mbebi.
À ŋ̀kwaŋɓɛ mudàa i ŋgı̀i.	A ñkwañbe mudaa i ñgii.
Màlêt à m̂ɓehlaha mɛ cèe.	Malét a mbéhlaha me tjéé.
Kààt yɛ̀m ı̀ yè nyɔ̀ɔ ı̄ ɓɔ̄nı̄.	Kaat yem i yé nyoo i boni.
Sɔhɔ ɓòŋol mɛ̀ ǹsɔn unu.	Soho bôñôl me nson unu.
Lɛgɛ̂l ŋ̀kɔ̀k.	Legel ñkok.
Màŋgɛ wānda nunu à nnɔ̄ga ŋgandàk.	Mañge wanda nunu a nnoga ñgandak.
Hèya ŋ̀kùm u tee wɛ̀ i kède wɔ̌m.	Héya ñkum u téé we i kédé wom.
Bı̀jɛk bi ndibà inyùu kı̄ŋɛ̂ (Bı̀ɓ 49,20.	Bijek bi ndiba inyuu kiñe (Bib 49,20.
Lı̀ndòmbò li hyee li nligis mɛ̂.	Lindômbô li hyéé li nligis me.
Mànɔ̀òdànà ma Yesù (Màteò 4,1-7).	Manoôdana ma Yésu (Matéô 4,1-7).
Ɛ i mɓɛha njɛ̌l wɔ̌m.	E i mbeha njel wom.
Sùhgɛ̀ seya ı̀lɔ̀lɛ ù ntı̄ mût.	Suhge séya ilole u nti mut.
Jàm lini li ńyuk mɛ̂.	Jam lini li nyuk me.
Yɔ̌m i ŋkwɔ̂ kwɔ̂glɔ̀.	Yom i ñkwo kwoglo.
Saŋgo Makàni à mɓēmlɛ mɛ ŋgwɔ̄.	Sañgô Makani a mbémle me ñgwo.
Ha màlep munu hiɓɛ̀ɛ.	Ha malép munu hibee.
À ŋkɛ̀ hyɛbhyɛ̀p .	A ñke hyebhyep .
Mɛ̌n ù ǹyɔ̂gɓɛ̀nɛ̀?	Men u nyogbene?
Bı̀lɔ̀ŋ bı̀pɛ bi ŋkàl lɛ lı̀ɛ̀mb ŋgı̀m ǹtùk ı̀; jɔ̀ lı̀ɛ̀mb.	Biloñ bipe bi ñkal le liemb ñgim ntuk i; jo liemb.
À ǹtɔn mɛ mbɔ̄t ni pên.	A nton me mbot ni pén.
ı̀Ni kààt ı̀ nsɔ̄nglà ɓe.	ini kaat i nsongla bé.
Ɓɔ̀ŋgɛ ɓa ŋgwēs biòlò.	Boñge ba ñgwés biôlô.
Bı̀kùlɛ bi ye mūnu bijɛ̄k.	Bikule bi yé munu bijek.
Mbı̀gdà nyɛ̌mb mùt.	Mbigda nyemb mut.
Mbom jàm; mǎn keê nu mbōm = m̂ɓòk gwee ikède ndāp ɓòt.	Mbôm jam; man kéé nu mbôm = mbôk gwéé ikédé ndap bôt.
Kwèhnɛ̀ mùt ndap mɔ̀k.	Kwéhne mut ndap mok.
Lı̀hɛp jɔn li ńyùùɓaha mɛ̂.	Lihep jon li nyuubaha me.
Mɛ̀ mɓāhla ni ǹsɔn matı̀là.	Me mbahla ni nson matila.
Ɓàŋga mùt ı̀ ŋàgɓà ɓee.	Bañga mut i ñagba béé.
I ŋkèla lɛ ù yè pɛlɛs .	I ñkéla le u yé peles .
Mǎn pùlûs à ŋ̀kambɛ̄ mût wı̌p hisòo.	Man pulus a ñkambe mut wip hisôô.
À mudàa ŋgùù!	A mudaa ñguu!
Ɓɔ̀n ɓa ńyùya ŋgandàk bitı̄sɔ̀n.	Bon ba nyuya ñgandak bitison.
À gwèe hı̀hik i kı̄ŋ.	A gwéé hihik i kiñ.
Kɔ̀l bı̀tòŋ; ŋ̀kɔ̀là.	Kol bitôñ; ñkola.
Ǹtudɛ ū cɔbı̄.	Ntude u tjobi.
Mùt à gwèe kı̄ŋ mbɛ̀m= he vacilates in speech, decisions.	Mut a gwéé kiñ mbem= hé vatjilatés in spéétjh, détjisiôns.
Seha i lep.	Séha i lép.
À m̂ɓôlha nugā i tūtu.	A mbôlha nuga i tutu.
Mɛ̀ ŋgwēs ɓɔn ɓɛ̂m, ɓɔ̀n ɓɛ̂m kı̀ ɓa gwehêk mɛ̀ = gweha lı̄saŋ li ɓôt (mǎn nı̀ ı̀saŋ) mànoglà nı̀ lɛɛgɛ̀ màeba ma mmaŋ mût.=	Me ñgwés bon bem, bon bem ki ba gwéhék me = gwéha lisañ li bôt (man ni isañ) manôgla ni leege maéba ma mmañ mut.=
Ndɔn i ńyèènɛ i hōk.	Ndon i nyééne i hôk.
Noglà lam.	Nôgla lam.
Jǎs li ŋàp wɛ̂.	Jas li ñap we.
siyɛ mùt nunu lɔ̄ŋgɛ̂!	siye mut nunu loñge!
À mût hek lɛ̄ kı̀ hı̀lemb!	A mut hék le ki hilémb!
Yı̀bi ŋwɛ̀mɛl halā kı̀i kɛ̄mbɛ̂ i njôp lipènd.	Yibi ñwemel hala kii kembe i njôp lipénd.
Nyambɛ à nsàyɓɛnɛ wɛ mū mālı̄ga.	Nyambe a nsaybene we mu maliga.
Kèk mı̀nsɔn ı̀ m̂pam.	Kék minson i mpam.
Ɓɔ ɓâ ɓa nnı̂gha mɛ̂; à ǹnı̂gha mɛ yèl i têblè; dı̀ ǹnı̂gha gwêl.	Bo ba ba nnigha me; a nnigha me yél i téblé; di nnigha gwél.
Yòo i ńyùk.	Yôô i nyuk.
Ǹlàl lɛ ǹlàl; ndàndi lɛ ndàndi.	Nlal le nlal; ndandi le ndandi.
Hilàbò hi gweē mǎn.	Hilabô hi gwéé man.
Ŋgwɔ i mpùmbna mbuluk.	Ñgwo i mpumbna mbuluk.
Ɓa binyɛ̀bɛ mɛ̂!.	Ba binyebe me!.
Nunu mùt à nnùna njɔɔ̄.	Nunu mut a nnuna njoo.
Lı̀cɛ̀ɛ li ye ùŋgul i hı̀nùni.	Litjee li yé uñgul i hinuni.
Kɔ̀k yɔ̌m ɓɛ̀dɛ̀ɓɛ̀dɛ (Màn.30,36)̀.	Kok yom bedebede (Man.30,36)̀.
Cı̂mbɛ̀ i ŋkeda nı̀ ǹsùl.	Tjimbe i ñkéda ni nsul.
Mùdàa à m̂ɓɔy man, mǎn à kɛ hı̄lɔ̀.	Mudaa a mboy man, man a ke hilo.
Kii ɓa nhêyna wɛ ı̄ sǔglù?	Kii ba nhéyna we i suglu?
À yè mǎntàtâ.	A yé mantata.
Mùdàa à yeglɛ ǹsɔ, ŋgı̀ ɓɔ̀n ɓee ɓɔɓaà, nı̀ ŋgı̀ ǹlom (Ruth 1,5).	Mudaa a yégle nso, ñgi bon béé bobaa, ni ñgi nlôm (Ruth 1,5).
Higil ŋwɛmɛl u ndap kōp (=yı̀bı̀l); higil mɛ̀ lep mɛ̀ ŋɔ̄k!(=keŋ lɛ̄ màlep ma tāgɓɛ ha ɓâŋ ŋgàndàk).	Higil ñwemel u ndap kôp (=yibil); higil me lép me ñok!(=kéñ le malép ma tagbe ha bañ ñgandak).
Njı̌ŋ ı̀ ɛ ini lɛ lèk ı̀ nlōha mɛ̂.	Njiñ i e ini le lék i nlôha me.
Nyǎŋ à yè màlêt.	Nyañ a yé malét.
Lı̀kat li ɓandèèŋgà.	Likat li bandééñga.
Màlêt à ntēe ɓaudu ɓe nlòŋ nı̀ hı̀sèse.	Malét a ntéé baudu bé nlôñ ni hisésé.
À ǹnyândlɛ mɛ màsɔ̀ŋ.	A nnyandle me masoñ.
Ɓòt ɓa nsɔn ɓa nsèblana lɛ sɔlôŋ.	Bôt ba nson ba nséblana le solôñ.
Ɓa ŋkēehɛnɛ nyɛ i mbāy Màkàk.	Ba ñkééhene nye i mbay Makak.
À binɛ̄ɛmbɛnɛ i tı̄sɔ̀n.	A bineembene i tison.
Ndi kı̀i ŋgèdà ı̀ kɔ̀la yaga cɛcɛ̀s, Nyambɛ à ɔm man weē...Gàl 4,4.	Ndi kii ñgéda i kola yaga tjetjes, Nyambe a om man wéé...Gal 4,4.
À ǹti wɛ dı̀sɔɔ caŋɛn?	A nti we disoo tjañen?
Pùma ŋ̀kɔ̀ŋ à nsàmhana i jı̌s.	Puma ñkoñ a nsamhana i jis.
Mɛ̀ ɓaaba yàni (i) ŋgèdà ǹsɔn.	Me baaba yani (i) ñgéda nson.
M̀bɔmbɔ̀k hɔnd kena.	Mbombok hond kéna.
Ɓɔ tɛl à ŋ̀wɔ.	Bo tel a ñwo.
Ɓɔ tɛl à ŋ̀wɔ.	Bo tel a ñwo.
Lı̀keŋ ndāp li ntùga ɓe wip.	Likéñ ndap li ntuga bé wip.
Bı̀lem bi nhegep litōm li ndap.	Bilém bi nhégép litôm li ndap.
Hyèe hi nlɔ̄ŋ; ŋwày u nlɔ̄ŋ.	Hyéé hi nloñ; ñway u nloñ.
Màkɛ̀gi ma juu (Màn.27,5).	Makegi ma juu (Man.27,5).
Mùt nunu à tà ɓe ɓûn!	Mut nunu a ta bé bun!
À ɓɔŋgɛ i ŋgèdà màlɔ̀ i njɛ̀l nı̀ kɛ̀nɛ̀k nı̀ mɓɛ̀mnà.	A boñge i ñgéda malo i njel ni kenek ni mbemna.
Ednɛ yɛ̂m mapɛp lɛ ndàmb 	Édne yem mapep le ndamb 
Ù lòòhɛnɛ ɓâŋ bı̀kààt gwɔŋ i jòy jɛ̂m.	U lôôhene bañ bikaat gwoñ i jôy jem.
Ɓɛ̀dɛl tàmba wɔ̂ŋ ŋŋɔ̄ ŋgèdà ù mpōdos mût à nlɔ̀ɔ̀ wɛ̂.	Bedel tamba woñ ñño ñgéda u mpôdôs mut a nloo we.
Ɓèŋgɛ kı̀i à ntùgus man kōy; dı̀ ntùgus ɓee bɔ̂l.	Béñge kii a ntugus man kôy; di ntugus béé bol.
Mɛ̀ nsı̀hil ɓapàgi ni lı̀ŋgɛŋɛɛ.	Me nsihil bapagi ni liñgeñee.
"Mɛ̀ wɔ ɓâŋ nyùu kɛkı̀ikɛ̄l" Hyèm 31:2.	"Me wo bañ nyuu kekiikel" Hyém 31:2.
Nunu màŋgɛ à yè mùt màkend.	Nunu mañge a yé mut makénd.
Ɓa ŋèŋlana mintɛ̀t.	Ba ñéñlana mintet.
Ɓòdàa ɓa nsɔ̀ɔ̀gana mâm.	Bôdaa ba nsoogana mam.
Ɓandâs i ŋɔdlà.́	Bandas i ñodla.́
Hı̀luŋga hi ŋobōs minsas.	Hiluñga hi ñôbôs minsas.
Sǔglù yèe ı̀ ǹsodos mɛ̂.	Suglu yéé i nsôdôs me.
Mùt à mɓàt ɓe nyɛ pı̄l.	Mut a mbat bé nye pil.
À ǹnyeembaha mɛ̂ hı̀lòbà; dı̀ ǹnyeembaha liɓèl.	A nnyéémbaha me hilôba; di nnyéémbaha libél.
Mbɛ̀bi ı̀ mpèblaha biɛ bi lipàn (Yès 7,2).	Mbebi i mpéblaha bie bi lipan (Yés 7,2).
Mɔ̀ni à ǹyilā nyɛ ŋgı̀m nyambɛ̂!	Moni a nyila nye ñgim nyambe!
Bikèlel gwee nyɛn mǎn à kɛnɛk i sǔglù.	Bikélél gwéé nyen man a kenek i suglu.
Màŋgɛ à mɓāhal cee inyùu màjò mee.	Mañge a mbahal tjéé inyuu majô méé.
À yè litɔ̄s nyàgà.	A yé litos nyaga.
Ŋgǒy bı̀kay ı̀ mɓèŋà.	Ñgôy bikay i mbéña.
Màŋgɛ à ǹsuŋ i mbɛ̀gɛ̀ɛ̀ ı̀ni.	Mañge a nsuñ i mbegee ini.
Ɓèŋgnana ɓàpodôl ɓa ɓā pɔ̄t ı̄ jòl li Ŋwɛt, kı̀kı̀i yı̀mbnɛ i honɓà ndùdù nı̀ i wɔŋgut (Yàk 5,10).	Béñgnana bapôdôl ba ba pot i jôl li Ñwet, kikii yimbne i hônba ndudu ni i woñgut (Yak 5,10).
Kogop (i) jis.	Kôgôp (i) jis.
Lı̀kɔ̀ndɔ̀ li nnum ŋàda.	Likondo li nnum ñada.
Mɛ̀ m̂mɔdɔl pee lihyolôl.	Me mmodol péé lihyôlôl.
Njɔ̀k ı̀ ŋ̀kahal pùùha tatam.	Njok i ñkahal puuha tatam.
Sɔn njɔ̄nɔ̂k.	Son njonok.
Hɛɛ ù m̂peŋgēl kwadɛ?	Hee u mpéñgél kwade?
Màtoà à ǹsoobɛ i lı̀ɓɔ̀ɔ̀.	Matôa a nsôôbe i liboo.
Bı̀jɛk bi ye ŋgàndàk i ɓěhnı̄.	Bijek bi yé ñgandak i béhni.
Màtı̀lâs ma nsùgut, ǹsùgut u hiòndɛ̀.	Matilas ma nsugut, nsugut u hiônde.
Ŋgɔs ŋ̀ɔ.	Ñgos ño.
Hyǎy hi nlɛ̄ŋɛl malēp.	Hyay hi nleñel malép.
À ǹcimbɛnɛ i kède tùŋ yeē.	A ntjimbene i kédé tuñ yéé.
Lı̀wanda jɛ̂m à ǹtɛgɓa sɔsɔ̄ hı̀kùt maɔ̀k.	Liwanda jem a ntegba soso hikut maok.
Inyùukı̄i ù mpèl mɛ mɔ̀ɔ?	Inyuukii u mpél me moo?
Jòŋgà li ɓobôk li mɓèna sôghɛ̀.	Jôñga li bôbôk li mbéna sôghe.
Kinjɛ̄ɛ ù mɓɔ̀ŋ .	Kinjee u mboñ .
Jı̀s li ŋgwaabàn.	Jis li ñgwaaban.
Jòm li ŋgweyi (i) fâm kàkaò .	Jôm li ñgwéyi (i) fam kakaô .
Ɓeghana Nyambɛ nı̀ dı̀ŋgɔ̀mà.	Béghana Nyambe ni diñgoma.
Òk i mmâmdà.	Ôk i mmamda.
Jɛ u mmâl.	Je u mmal.
Kèp mùt;	Kép mut;
Mùt nunu à yè nı̀ ŋwala! .	Mut nunu a yé ni ñwala! .
Hep pùùm.	Hép puum.
Hı̀kɛ̀m hi koy hi njɛ̄ mbâs.	Hikem hi kôy hi nje mbas.
Ǹsɔ̀n wɔn u ncimbaha mɛ̂.	Nson won u ntjimbaha me.
Lı̀yɔ̀t li hinùni.	Liyot li hinuni.
Ɓòt ɓa nnimil lipàn ɓa mɓēglànà.	Bôt ba nnimil lipan ba mbéglana.
À ɓâk à nnùi lɛ̀n i nàŋ.	A bak a nnui len i nañ.
Lı̀ɓɔ̀k li mbɛp.	Libok li mbep.
À maŋgɛ haa!	A mañge haa!
Lòlha oā.	Lôlha ôa.
Mɛ̀ nsı̄bɛ mbɔk yɔ̂ŋ mı̀ŋkɔŋgɔ (Màn 8,2).	Me nsibe mbok yoñ miñkoñgo (Man 8,2).
Ù gwèe lāndɛ hāna i mɛ̀ɛnı̄.	U gwéé lande hana i meeni.
Sı̀hà yɛ̂m lɛ "Nɔk, Pɔt, Aŋ, Tı̀la hɔ̄p wɔŋ u liɓeè".	Siha yem le "Nok, Pot, Añ, Tila hop woñ u libéé".
Lı̀kòdol li bitòŋ lini.	Likôdôl li bitôñ lini.
M̀ɓòmkɔ̀ga à nhāŋ ɓe i tı̄sɔ̀n kɛŋi.	Mbômkoga a nhañ bé i tison keñi.
Lı̀ɓɛhɛ̂k jes li cee.	Libehek jés li tjéé.
Ɓɔ̀mba pià.	Bomba pia.
Tı̀ı̀gɛ nyɔ̀nɔ.	Tiige nyono.
Tı̀ı̀gɛ nyɔ̀nɔ.	Tiige nyono.
Kii i nnyondɓaha wɛ̂? Dı̀ ǹnyonɓaha i lūk.	Kii i nnyôndbaha we? Di nnyônbaha i luk.
Kɔ̀m mudàa.	Kom mudaa.
Ɓɛlɛ̂k tɔ̀ ù ǹti mɛ hı̀koo mɔnı̄ mɛ̀ gatɔ̄p ɓemɛ̂	Belek to u nti me hikôô moni me gatop béme
Ǹten nugā.	Ntén nuga.
Sı̀bà à ŋ̀kandı̂.	Siba a ñkandi.
Nunu mùt a nhàn lɛ!	Nunu mut a nhan le!
Ŋgèdà mɛ̀ yè i mı̄tı̀n hɔ̀ma, mɛ̀ nsēdi mao inyùu ɛ̄mblɛ̀.	Ñgéda me yé i mitin homa, me nsédi maô inyuu emble.
Hı̀kɔ̀glɔ̀ hi nhɛɛma nɔ̄l nyɛ.	Hikoglo hi nheema nol nye.
Nunu màŋgɛ à ǹnaŋna ɓeba ŋɛm.	Nunu mañge a nnañna béba ñem.
Ɓěs nı̀ ɓàkèn ɓes dı̀ ǹceelana malòl ma ndiyò.	Bés ni bakén bés di ntjéélana malôl ma ndiyô.
...Ikède tùgɓà yap Yèhovà à ǹyamāl ɓɔ (Màn 18,11).	...Ikédé tugba yap Yéhôva a nyamal bo (Man 18,11).
Mùnlom hı̀kuni.	Munlôm hikuni.
A ǹtegi diɓɛ̀ɛ cagācàgà.	A ntégi dibee tjagatjaga.
Sûp yɔ̌ŋ i ǹyilā nsòyâŋ.	Sup yoñ i nyila nsôyañ.
À ùŋgus gôl ni kɛ̀y i ŋkēdêl... (Màn.32,4).	A uñgus gôl ni key i ñkédél... (Man.32,4).
Mǎn ɓàkò à ǹhôŋ manyâŋ isı̄.	Man bakô a nhôñ manyañ isi.
Hɛ̀lɛl mɛ̀ tòdò ı̂ i jùu.	Helel me tôdô i i juu.
Mɛ̀ nsāk masaò.	Me nsak masaô.
Mɛ̀ nsɔ̄ŋgɔl mɔnı̄.	Me nsoñgol moni.
Ɓa mɓomōl man inyùù ntùk.	Ba mbômôl man inyuu ntuk.
À ǹhim ŋkòò.	A nhim ñkôô.
Lɔ̀ podol mɛ̀.	Lo pôdôl me.
Lı̀nuk li biɓɛ̀ɓɛlà.	Linuk li bibebela.
Lı̀nuk li biɓɛ̀ɓɛlà.	Linuk li bibebela.
Njɔ̀k lı̀pàn.	Njok lipan.
Mǎn à ǹnyɛ ı̄ nàŋ.	Man a nnye i nañ.
Lini lı̀kàbò li nnyāŋâ.	Lini likabô li nnyaña.
Hèè Ta èè!	Héé Ta éé!
Puk mɛ̀ dı̀kalâ.	Puk me dikala.
Lɔ̌ di cɛk màm dı̀ ǹlama ɓɔ̂ŋ yani.	Lo di tjek mam di nlama boñ yani.
Ù gwèe ɓē sɔŋdà.	U gwéé bé soñda.
Ɓànyàndom ɓa nsɔ̀là.	Banyandôm ba nsola.
À ŋ̀kɔ̂p mbɔt yeē lòŋnı̀ kwɛ̀n.	A ñkop mbot yéé lôñni kwen.
Mɛ̀ mɓāmb mɔɔ.	Me mbamb moo.
Ŋ̀kòò u ńyùmbɛ̀.	Ñkôô u nyumbe.
Mɛ̀ ntōl mâŋ.	Me ntôl mañ.
Mɛ̀ gasòblɛ hicɔ mu (ı̄) ndɛ̄k ı̀.	Me gasôble hitjo mu (i) ndek i.
Kul a ɓɛt hârrrà, à om, njèe a kwɔ̂!	Kul a bet harrra, a ôm, njéé a kwo!
Kaya i cɔbı̄ i nlɔ ndı̄gi yāda.	Kaya i tjobi i nlo ndigi yada.
À ǹlɔ̂, à ɓubul mɛ hāna i ndāp.	A nlo, a bubul me hana i ndap.
Mɛ̀ nhābna mbɔt inyùu sòò nyùu.	Me nhabna mbot inyuu sôô nyuu.
À nsōohana man i mbēdge.	A nsôôhana man i mbédgé.
Yawè à m̂mâl hûghɛ ɓôt ɓe nyuu (Yès 49,13).	Yawé a mmal hughe bôt bé nyuu (Yés 49,13).
Mùt à ǹhogoo hiòndɛ̀ i pân.	Mut a nhôgôô hiônde i pan.
Lep u nhūlul (i) ndèè mbèŋ.	Lép u nhulul (i) ndéé mbéñ.
Jàla li heŋgi ı̄ ŋwı̀ı̀.	Jala li héñgi i ñwii.
Ŋgàndàk kı̂yāga.	Ñgandak kiyaga.
Ɓa njimbɛ̄ mût wı̌p.	Ba njimbe mut wip.
Hı̀kaagà hyɛ̂m hi nnimı̂l.	Hikaaga hyem hi nnimil.
Maŋ mût û u nnɔ̂m ngandàk.	Mañ mut u u nnom ngandak.
Cɔ̀bi di nloba ŋgandàk.	Tjobi di nlôba ñgandak.
Ɓa mɓòŋol bitamb ni lààkòp i nyagà tɔ̀ i nyɛt.	Ba mbôñôl bitamb ni laakôp i nyaga to i nyet.
À ǹsihı̄l mɛ ɓɔ̀t isı̄.	A nsihil me bot isi.
Pòos mɛ̀ mɔ̀ni.	Pôôs me moni.
Ndɔ̀ndɛ̀ njèe ı̀ ǹjɛ kɛmbɛ̂.	Ndonde njéé i nje kembe.
